real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.05132997723035454, 0.0]]","[[0.0, 0.0], [0.0, 0.7046792609557405]]","[[0.0, 0.024894047786183062], [0.0, 0.0]]","[[0.0, 0.05646143921562001], [0.02000680368322565, 0.058800041121759246]]","[[0.0, 0.0], [0.03911438821028942, 0.0023270367538463462]]","[[0.02450354890041488, 0.0], [0.05448063355907794, 0.6896179831073134]]","[[0.00963831755086517, 0.03342016089333452], [0.015324802070271853, 0.015677744833755402]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0011387272143253285, 0.0]]","[[0.0, 0.0], [0.0, 0.6207426226308169]]","[[0.0, 0.009303844226236356], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 1.0162440365891647]]","[[0.0, 0.0], [0.0, 0.8558695305616818]]","[[0.0, 1.7819425082150249], [0.5670470808390987, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.9576680615636791]]","[[0.0, 0.0], [0.014269236986191602, 0.8624927914425092]]","[[0.0, 0.9765052287856227], [0.5219883023198544, 0.0]]","[[0.0, 0.001888330972096265], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.9355365597021943]]","[[0.0, 0.0], [0.0, 0.777882449194334]]","[[0.0, 0.6796083280762911], [0.44381304591889686, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.6117979699098053], [2.2154279491959223, 0.0]]","[[0.0, 0.0], [0.0, 0.8198939771978969]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.5477413861761196], [0.6877823248696852, 0.0]]","[[0.0, 0.0], [0.013230399737764043, 0.7910712050931813]]","[[0.0, 0.0], [0.006569637206893643, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.4432341774819596], [0.34043344211393206, 0.0]]","[[0.0, 0.0], [0.0, 0.7485132059658347]]"
"[[1.1258442922870529, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.026310650865664677, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[1.0126459420827767, 0.0], [0.0, 0.0]]","[[0.03441131315074428, 0.03664653626759412], [0.0, 0.017287781484356793]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0020298238408738845, 0.0], [0.03731712597636411, 0.027117697516230263]]","[[1.0396464183099265, 0.0], [0.0, 0.0]]","[[0.008158723379156215, 0.005241336101504075], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.9567331579198766]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.060213023012913605, 0.0]]","[[0.038552641625035515, 0.0], [0.0262858467216511, 0.0]]","[[0.0, 0.0], [0.0, 0.8897853515134413]]","[[0.0, 0.008330259368558116], [0.0, 0.0057562944400112405]]","[[0.0, 0.004239583040840329], [0.07623043806421782, 0.005915930539163653]]","[[0.0, 0.0], [0.005012370248498074, 0.0]]","[[0.0, 0.0], [0.0, 0.848762209118811]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.05958931230129025, 0.0]]"
"[[0.0, 0.0], [0.0, 0.5552640728794255]]","[[0.8641454417351865, 0.012736715893012176], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.0944404284356237, 0.8104582103182338]]","[[0.01923788916107625, 0.0], [0.0, 0.5144086162841074]]","[[0.8283513994921734, 0.0], [0.0, 0.0]]","[[0.0, 0.018453948483996837], [0.018258739073484978, 0.03040136218702964]]","[[0.0, 0.0], [0.557865826305042, 0.3714510750614749]]","[[0.0, 0.0], [0.0, 0.4651593404202994]]","[[0.7736823208753186, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.47403491995875907, 0.30085673602582236]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07224090530415368, 0.0]]","[[0.0, 0.013436265288568228], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.013569246913313132, 0.005849832169824362], [0.09101624708955475, 0.011091444006444072]]","[[0.0, 0.010603233034057784], [0.0, 0.0]]","[[0.0, 0.0], [0.0016431014687430764, 0.008745312181306213]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.04175955242949187, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [1.2506463156494108, 0.6689247617327548]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.8283240762378075, 0.9287991360409983]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.7104206299316953, 0.32436539964217304]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5982517968921234, 0.22378810671733743]]","[[0.004538823399806104, 0.03957084430900092], [0.006511696726742921, 0.01809631435170765]]","[[0.0, 0.0], [0.514885346515877, 0.17756273758370814]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.39909263596009414, 0.17476952002694007]]","[[0.0, 0.007035508895838966], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.8081144798719049]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.006356219594624461, 0.0]]","[[0.8652606320983569, 0.0], [0.0, 0.025988358361655767]]","[[0.0, 0.0], [0.0, 0.7852026713311309]]","[[0.007976987999762477, 0.0], [0.0, 0.012844894817750661]]","[[0.0, 0.0], [0.0005855033398740928, 0.0]]","[[0.8460104241531199, 0.0], [0.0, 0.003759478920860264]]","[[0.0, 0.0], [0.0, 0.7258601071466363]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.8253456946774853, 0.0], [0.0, 0.011113518052527407]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.6492342463043973, 0.0], [0.0, 0.0031924884448421512]]","[[0.0, 0.0], [0.0, 0.7409852488647404]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.007904891084565505, 0.0]]","[[0.6444487374067003, 0.013697193032018619], [0.0, 0.0]]","[[0.027130825661930816, 0.026581716841652836], [0.0, 0.7392845184932535]]","[[0.012155785238155107, 0.00900688668875989], [0.0023393257041907016, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.6080015707211707, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.6968326724597796]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.25610147195624555], [0.0, 0.0]]","[[0.7363714105960018, 0.0], [0.0, 0.0]]","[[0.0, 0.5699023105720634], [2.110611927923972, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.275689153574833], [0.0, 0.014155385578744382]]","[[0.6750202180945503, 0.0], [0.015935353226447454, 0.03921635491968834]]","[[0.0, 0.4931197217090777], [0.7147802053698247, 0.0]]","[[0.0, 0.0], [0.004367135401192842, 0.003349961650723713]]","[[0.0, 0.15605543225975016], [0.0, 0.0]]","[[0.6382730090507727, 0.0], [0.0, 0.0]]","[[0.0, 0.4318508406731119], [0.3559739759360335, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.7531133659929465, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07036877801700576, 0.8797097175939758]]","[[0.004463549349052239, 0.0], [0.0, 0.7628759068405903]]","[[0.0, 0.0], [0.6036817773176415, 0.012575221865574214]]","[[0.0, 0.0], [0.023742858796819033, 0.008311045011085153]]","[[0.0, 0.0], [0.053340695015181724, 0.7983964694857651]]","[[0.0, 0.0], [0.0, 0.7348373808843727]]","[[0.0, 0.0], [0.43896288897530694, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0270269595467103, 0.7819455945954036]]","[[0.0, 0.0], [0.0, 0.7183096014846955]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7879155115842855, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8017428922607761]]","[[0.0, 0.02409180959640512], [0.0, 0.0]]","[[0.0, 0.0], [0.031177605127835753, 0.0]]","[[0.7833536442402931, 0.020681102142654003], [0.015215503357399206, 0.02207874228561124]]","[[0.015021708201331538, 0.0], [0.005909680456672618, 0.7760197672276782]]","[[0.0, 0.01607765593841673], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7304844421111405, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7146858813288776]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0003266871270275385], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.026044853092030158, 0.030030914833560816]]","[[0.005847670856329044, 0.0], [0.0, 0.0]]","[[0.01716389396443576, 0.0009769365131067434], [0.03505491485795123, 0.022228934416364837]]","[[0.008204089561718359, 0.0], [0.0022181620427449166, 0.0]]","[[0.0039210943252942455, 0.0], [0.0, 0.0018951171187328885]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0012487323821163928, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.06233822248551328], [0.0, 0.0]]","[[0.6949108146666535, 0.8422115519505533], [0.0, 0.0]]","[[0.008750493063938864, 0.046053762807839745], [0.008989041550268041, 0.04844795045446784]]","[[0.058219983730527045, 0.04968312446900462], [0.05486134445755329, 0.038452326665708046]]","[[0.0, 0.07159475185590909], [0.0, 0.0]]","[[0.38497228670500055, 0.5057035662437444], [0.0, 0.0]]","[[0.0, 0.0], [0.005461309420569777, 0.0]]","[[0.02755312849204031, 0.0064434638802732145], [0.0005095956428524315, 0.0]]","[[0.0, 0.05171961820255011], [0.0, 0.0]]","[[0.3290429403168162, 0.42459838211972306], [0.0, 0.0]]"
"[[0.9085625300726856, 0.7222478445126083], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7873027478632696]]","[[0.7123621731871931, 0.6546691993265764], [0.0, 0.0]]","[[0.0, 0.0], [0.6016205069328358, 0.0]]","[[0.47081996689498956, 0.3651888544731542], [0.03416994130233783, 0.0]]","[[0.0033212430518728673, 0.0], [0.0, 0.7417277874499189]]","[[0.42748676538654873, 0.37193347958197553], [0.0, 0.0]]","[[0.0, 0.0], [0.5246101946396969, 0.0]]","[[0.3867008968296827, 0.3101375564105838], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.75066671916447]]","[[0.3201848283687011, 0.29790651475651486], [0.0, 0.0]]","[[0.0, 0.0], [0.48940281934296476, 0.0]]"
"[[0.0, 0.1283021628934613], [0.0, 0.0]]","[[0.0, 0.0], [0.04912403286617279, 0.0]]","[[0.9109724556731481, 0.9267887519642174], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8229112774422513]]","[[0.01319695275572785, 0.16616378311581592], [0.004879026213974396, 0.020258127639749844]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.45537952966351747, 0.4473456248018861], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7705845116033757]]","[[0.0, 0.12641755381483943], [0.0, 0.004636707257917752]]","[[0.0, 0.0], [0.00285476442380259, 0.0]]","[[0.3974375927970064, 0.386042349220549], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7635509117364271]]"
"[[0.0, 0.0], [2.5736735320660498, 0.9753578048304764]]","[[0.0, 0.0], [0.0, 0.8164089079163337]]","[[0.0, 0.0], [0.0, 0.8481108112142343]]","[[0.0, 0.04504801599141935], [0.0, 0.0]]","[[0.0, 0.0], [0.1173695771909765, 0.0687429825449629]]","[[0.0, 0.0], [0.018788864335757133, 0.8116468691632079]]","[[0.025704424139774345, 0.005561044638501793], [0.006031986376593683, 0.8414993212475504]]","[[0.0053474739694845735, 0.041716409273821115], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.07119815308243209]]","[[0.0, 0.0], [0.0, 0.738739550777657]]","[[0.0, 0.0], [0.0, 0.7540563297651066]]","[[0.0, 0.01968034084500606], [0.0, 0.0]]"
"[[0.8960881342820356, -0.0013248461291205324], [0.0, 0.0]]","[[0.7953083852805525, 0.0], [0.0, 0.0]]","[[0.8330538760392066, 2.349678625657005], [0.0, 0.0]]","[[0.0, 0.0], [0.47941837742080373, 0.0]]","[[0.9552411685106604, 0.05505170479274804], [0.05723732057052053, 0.015143568351586053]]","[[0.7469988495391097, 0.0], [0.0, 0.0]]","[[0.15491605225522243, 0.33089831341720705], [0.0, 0.0]]","[[0.0, 0.0], [0.4598925911921846, 0.0]]","[[0.789809266851578, 0.0], [0.0, 0.0]]","[[0.7325056634356051, 0.0], [0.0, 0.0]]","[[0.07903652623428425, 0.03227659239466979], [0.0, 0.0]]","[[0.0, 0.0], [0.39982001011215645, 0.0]]"
"[[0.8821374977965059, 0.0], [0.0, 0.0]]","[[0.0, 0.7349998676720974], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8186589328824153]]","[[0.703199478027501, 0.0], [0.0, 0.0]]","[[0.8429273238277016, 0.0], [0.0, 0.023747971942631382]]","[[0.0010958605412421454, 0.637202698274901], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7594547495863693]]","[[0.690580388508389, 0.026479067419169732], [0.0, 0.0]]","[[0.7766764820159027, 0.0], [0.0, 0.0]]","[[0.0, 0.5004215268412754], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7521221926978157]]","[[0.6313868021762719, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.7347234260726142, 1.0622402104245472], [0.0, 0.0]]","[[0.0, 0.0], [0.004898036000110929, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.02062622387210819], [0.0, 0.0]]","[[0.2641604096329061, 0.47949703849849173], [0.02135729323819421, 0.0]]","[[0.012409817351184602, 0.0], [0.026712542093826272, 0.0010941322539180164]]","[[0.013106869820871598, 0.0060834316147272876], [0.003254806771257518, 0.033215326193523145]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.19429436828662316, 0.38586392395198316], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.008701545500837588, 0.0], [0.0, 0.003638648839579097]]"
"[[0.0, 0.0], [0.8318625427895938, 0.0]]","[[0.8185256145847626, 0.4457298916397937], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.017849500545626413, 0.0]]","[[0.0, 0.0], [0.6534764582431889, 0.0]]","[[0.5143149933079801, 0.25081962695746746], [0.0, 0.0]]","[[0.0, 0.001444544544731165], [0.0, 0.009685255072092013]]","[[7.941292866181499e-05, 0.0], [0.024736139888591156, 0.0]]","[[0.0, 0.0], [0.43318773045524134, 0.0]]","[[0.4996518988887081, 0.2511873878794748], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.009224603671860574, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.7622042386642938, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7829326901580479, 0.0], [0.0, 0.0]]","[[0.016159077363370192, 0.035053410724060596], [0.08071234840022116, 0.0]]","[[0.7198716163079393, 0.0], [0.0, 0.0]]","[[0.015509787762746424, 0.019939209334244833], [0.017211944364887752, 0.0]]","[[0.7726685503626185, 0.006427763720708535], [0.0, 0.006277271195561654]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7127026034364293, 0.0], [0.0, 0.0]]","[[0.0, 0.0033838435313812603], [0.0, 0.0]]","[[0.7392012301908416, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.454357909296603, 0.7989914517383049]]","[[0.0, 0.0], [0.0, 0.8893057531652313]]","[[0.0, 0.0], [0.0, 0.8070179193402848]]","[[0.0, 0.0], [0.019549243748209818, 0.0]]","[[0.0, 0.0], [0.58127663971791, 0.19808588301323327]]","[[0.0038150051668461656, 0.04156153159711838], [0.0, 0.8498447739903671]]","[[0.014970479822915843, 0.0], [0.0038690966511268714, 0.7891145014324457]]","[[0.0, 0.0], [0.0, 0.029807860581146917]]","[[0.0, 0.0], [0.39566952345983647, 0.13141043949782605]]","[[0.0, 0.0], [0.0, 0.803155343500107]]","[[0.0, 0.0], [0.0, 0.7766817437488222]]"
"[[0.0, 0.0], [0.0, 0.6495329100429872]]","[[1.0112850274788396, 1.0664213446045747], [0.0, 0.0]]","[[0.8011845371951304, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.02352081219499203], [0.0, 0.596647527231121]]","[[0.32620867986808977, 0.33460776402217424], [0.0, 0.0]]","[[0.760692953157859, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.5386948800641206]]","[[0.27395045320135347, 0.2953202589557345], [0.0, 0.0]]","[[0.7703215154659127, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.7593557690953763, 0.4749672594585089], [0.0, 0.0]]","[[0.7392466305907471, 0.0], [0.0, 0.0]]","[[0.865959754811779, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.5812414971990456, 0.3576402336844165], [0.05880842148306549, 0.09519053728525104]]","[[0.7057439046695342, 0.0], [0.0, 0.0]]","[[0.8278911651089964, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.4589185411420064, 0.21702093479901505], [0.0, 0.0]]","[[0.654851580612162, 0.0], [0.0, 0.0]]","[[0.7721275312019007, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
