coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[['', '', ''], ['', 'tanh', ''], ['', 'sigm', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.5840273884688956, 0.09307125946483487], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.4810771300147551, 0.03086567724532831], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.5289852813056607, 0.05075027106533527], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0010154458798807182, 0.5207540517845067, 0.07597510946694887], [0.0, 0.0, 0.0]]"
"[[['', '', ''], ['tanh', '**0.272', ''], ['', '', '']]]","[[0.0, 0.35645909868867776, 0.0], [0.0, 1.2725842438020967, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.24917143693081562, 0.0], [0.0, 0.535180101445978, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.2709806611281199, 0.0], [0.0, 0.5552764860276598, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.2863325634219405, 0.0], [0.0, 0.5817050979685207, 0.008835291416777429], [0.0, 0.0, 0.0]]"
"[[['', 'cos', 'tanh'], ['0.034', '', ''], ['', '', '']]]","[[0.0, 0.000765984635370688, 0.0], [0.013921742137535602, 0.0, 0.0], [0.3657008314196275, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.25766981974090236, 0.0, 0.0]]","[[0.0, 0.0, 0.004060260342684103], [0.0, 0.014981970081250386, 0.0043212688631445485], [0.31623092206270476, 0.0, 0.0]]","[[0.0, 0.029112588474875085, 0.0], [0.01903207920012179, 0.06726767985474642, 0.04488076561889629], [0.37264320312586247, 0.014486210516562736, 0.0]]"
"[[['', '', ''], ['-0.555', '', 'sin'], ['cos', '', 'tanh']]]","[[0.0, 0.15550785578279858, 0.020765181363392733], [0.0, 0.0, 0.0], [0.0, 0.08099021675985249, 0.0048334265440803095]]","[[0.0, 0.0861196036953726, 0.0], [0.0, 0.0, 0.0], [0.0, 0.02683426866004033, 0.0]]","[[0.0, 0.10175487070617045, 0.0], [0.0, 0.0, 0.0], [0.0, 0.06374655854701887, 0.0]]","[[0.0, 0.11960134024895311, 0.016128123910924237], [0.002656281030221617, 0.0, 0.015692701044139636], [0.014193892090780378, 0.07329097977168891, 0.0215180602143484]]"
"[[['**0.854', '', ''], ['', '', ''], ['sigm', 'sin', '']]]","[[1.4260524730481736, 0.0, 0.2587370844133178], [0.0, 0.0, 0.31448668952020814], [0.0, 0.0, 0.0]]","[[0.9674421305474701, 0.0, 0.04486886870488387], [0.0, 0.0, 0.1471163901278798], [0.0, 0.0, 0.0]]","[[1.0105545390936612, 0.0, 0.07683321220597453], [0.0, 0.0, 0.19862906307293735], [0.0, 0.0, 0.0]]","[[1.0783497825606774, 0.0, 0.12648188336433622], [0.0, 0.0, 0.2356950664566018], [0.0, 0.0, 0.0]]"
"[[['**0.751', 'sigm', ''], ['sin', 'cos', ''], ['-0.109', '-0.120', '']]]","[[0.1760887713659324, 0.3862618052586011, 0.01138854609597239], [0.044585513548839904, 0.3867703578627446, 0.02017410633152283], [0.0, 0.0, 0.0]]","[[0.09498054754990673, 0.2381894202582183, 0.0], [0.0, 0.2207134298626358, 0.0], [0.0, 0.0, 0.0]]","[[0.11154600280745904, 0.2644556834889959, 0.0], [0.0, 0.25955948556326397, 0.0], [0.0, 0.0, 0.0]]","[[0.11795543638698128, 0.3113765028970176, 0.0], [0.010385905710868107, 0.3306689506096058, 0.0], [0.009894562089126693, 0.0, 0.0]]"
"[[['', 'cos', '-0.043'], ['tanh', '**0.479', ''], ['log', '', '']]]","[[0.0, 0.6909551242294338, 1.4965297681278649], [0.6837952278766656, 0.36375593271536516, 0.0], [0.010589383727139934, 0.0, 0.0]]","[[0.0, 0.37327053418982753, 0.2961447907250626], [0.3653415915879077, 0.09946729517530033, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.4411592216322634, 0.4567640153796952], [0.43302134979665613, 0.16299093570922502, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.5259223658484142, 0.661797668528097], [0.44328179209847046, 0.1970425007141598, 0.0], [0.0, 0.0, 0.0]]"
"[[['**0.353', 'sigm', ''], ['', '**0.993', ''], ['', 'cos', 'log']]]","[[0.12899299952637933, 0.0, 0.0], [0.4662666928489852, 1.9604280396705303, 1.0725593287106103], [0.0, 0.0, 1.5696828578662865]]","[[0.0, 0.0, 0.0], [0.0, 0.8172319106855431, 0.12631754156921768], [0.0, 0.0, 0.62613891338978]]","[[0.0, 0.0, 0.0], [0.0, 0.8823064368212257, 0.21040768237337862], [0.0, 0.0, 0.7509865504794434]]","[[0.0, 0.0, 0.0], [0.024425721147311636, 0.9523960556027686, 0.31996022964493964], [0.0, 0.0, 0.8867376424444361]]"
"[[['', '', ''], ['', '', ''], ['sin', '**0.152', '']]]","[[0.0, 0.0, 0.33405387905727524], [0.0, 0.0, 1.1808866561040212], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.10143464861063886], [0.0, 0.0, 0.3821552382920059], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.15864818276141834], [0.0, 0.0, 0.44136774409752066], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.21131168990836266], [0.0, 0.0, 0.5067141172673211], [0.0, 0.0, 0.0]]"
"[[['tanh', '', ''], ['sin', '0.391', ''], ['', '', '']]]","[[0.6942295234241995, 0.6813179840810923, 0.0], [0.0, 0.40340784045403205, 0.0], [0.0, 0.0, 0.0]]","[[0.2719617588549077, 0.28583020891543387, 0.0], [0.0, 0.11338918152594393, 0.0], [0.0, 0.0, 0.0]]","[[0.31736506842274215, 0.33001944316239024, 0.007189447156798377], [0.0, 0.1469328058294044, 0.0], [0.0, 0.0, 0.0]]","[[0.35782908439330124, 0.346940709374533, 0.0], [0.0, 0.15497613422985596, 0.0], [0.0, 0.0, 0.0]]"
"[[['', '', ''], ['', '', 'log'], ['', '', 'log']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.4632299994582492, 1.466640415784205]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.3938033826442806, 0.378873443853764]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.49646442733074003, 0.4786475099955006]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.5365147202260306, 0.5151749373991892]]"
"[[['', 'sigm', ''], ['', '', '**0.933'], ['', '', 'log']]]","[[0.0, 0.0, 0.0], [0.26768216880284934, 0.0, 0.0], [0.0, 1.5293083733827997, 1.5474957719741536]]","[[0.0, 0.0, 0.0], [0.04028435208956383, 0.0, 0.0], [0.0, 0.5990128021231094, 0.46719726554992635]]","[[0.0, 0.0, 0.0], [0.07077981201172592, 0.0, 0.0], [0.0, 0.683106223695878, 0.5811408425863869]]","[[0.0, 0.0, 0.0], [0.06813680472579661, 0.0, 0.0], [0.0, 0.7334490217214438, 0.6868974627287915]]"
"[[['', '', ''], ['log', '', ''], ['cos', 'sin', '']]]","[[0.0, 1.520501313973871, 0.020545010837246552], [0.0, 0.0, 0.8288447608183194], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5230339897692046], [0.0, 0.0, 0.0]]","[[0.0, 0.023845075626373217, 0.0], [0.0, 0.0, 0.5566320087394059], [0.0, 0.0, 0.0]]","[[0.0, 0.12987094082948528, 0.0], [0.0, 0.0, 0.5556160303342166], [0.0, 0.0, 0.0]]"
"[[['', '', '**0.217'], ['', 'tanh', 'sin'], ['', 'sin', '**0.522']]]","[[0.0, 0.0, 0.0], [0.0, 0.08367002712738776, 0.07640155768076287], [0.006521204838605948, 0.32241672279515426, 0.06676545652251502]]","[[0.0, 0.0, 0.0], [0.0, 0.016745545135701406, 0.022679218123712354], [0.0, 0.23026643908349756, 0.023883849614244848]]","[[0.0, 0.0, 0.0], [0.0, 0.049431921220635604, 0.05447220069319137], [0.0009627810239204092, 0.2733199679577056, 0.04461109187780861]]","[[0.017327050978091063, 0.009656909695769747, 0.017280693403000646], [0.012932046600374076, 0.08868581593614071, 0.1227178202512985], [0.011380493019418039, 0.32540412793050383, 0.07933821666930954]]"
"[[['', 'sin', ''], ['-0.645', '', 'cos'], ['', '0.278', '']]]","[[0.0, 0.3551057939836476, 0.0], [0.4232638207062475, 0.0, 0.09461746577036631], [0.0, 0.039385523130202056, 0.0]]","[[0.0, 0.24657334275220572, 0.0], [0.31836823733498226, 0.0, 0.03723456059824001], [0.0, 0.0, 0.0]]","[[0.0, 0.28702286815241884, 0.0], [0.36489097746071286, 0.0, 0.05812171254899317], [0.0, 0.0, 0.0]]","[[0.0, 0.3315026675889588, 0.0], [0.39080828810184576, 0.0, 0.05734728332330979], [0.0, 0.013544616189425804, 0.0]]"
"[[['', '', ''], ['sigm', '**0.940', ''], ['', '0.563', 'tanh']]]","[[0.0, 0.03063066287294323, 0.0], [0.0, 0.6056581896802414, 0.3549718370160639], [0.0, 0.0, -4.453701637192969e-05]]","[[0.0, 0.0, 0.0], [0.0, 0.3551964056749169, 0.1821805691212902], [0.0, 0.0, 0.0]]","[[0.008146075954444058, 0.023233325637997366, 0.0], [0.0, 0.3902434464658651, 0.21420875918980153], [0.0, 0.0, 0.0]]","[[5.1166133157805824e-05, 0.029435064659705516, 0.0], [0.023901988919356968, 0.4433549039373059, 0.25110145874663864], [0.0, 0.0, 0.0]]"
"[[['**0.495', '', 'tanh'], ['', 'sigm', ''], ['', '', '0.440']]]","[[1.3801661816851771, 0.0, 0.0], [0.0, 0.01776434267338574, 0.0], [0.36419572530275, 0.0, 0.11074959095038618]]","[[0.882663088887569, 0.0, 0.0], [0.0, 0.0, 0.0], [0.18760581942613647, 0.0, 0.03016276412384833]]","[[0.9364256579010067, 0.0, 0.0], [0.0, 0.0, 0.0], [0.263889462269739, 0.0, 0.046325503480185846]]","[[0.9545155030953671, 0.0, 0.0], [0.0, 0.01589738389649807, 0.0], [0.2854778852537612, 0.0, 0.06641009388553473]]"
"[[['', '', ''], ['sin', '', 'sigm'], ['', '', '']]]","[[0.0, 0.35931874026201827, 0.0], [0.0, 0.0, 0.0], [0.0, 0.03392416533225463, 0.0]]","[[0.0, 0.2815144987568734, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0038941515698639275, 0.32249933652752644, 0.011220662786188492], [0.010092092728898366, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.007331366439428368, 0.319863290664993, 0.01064487867769977], [0.021354363598170598, 0.0, 0.008644234936566417], [0.0, 0.0, 0.0]]"
"[[['sin', '0.503', ''], ['', '', ''], ['', 'sigm', '']]]","[[0.8430309914989103, 0.0, 0.0], [0.0944249550112489, 0.0, 0.029125063008827282], [0.0, 0.0, 0.0]]","[[0.7142573554149705, 0.0, 0.0], [0.021178047485437074, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7478944849865428, 0.0, 0.0], [0.06388852180048966, 0.0, 0.01380248994449426], [0.0, 0.0, 0.0]]","[[0.7957716232972358, 0.0, 0.010202065035807716], [0.10910004376576803, 0.011963320645661232, 0.06535588159374946], [0.01551854434572575, 0.019551188626001432, 0.0]]"
