coefficients,di_exact,kde,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, -0.9499866151674445], [0.0, -0.5069923795370676]]]","[[0.0, 0.0], [0.42357194172151125, 0.13552312372893757]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.3283978198352524, 0.08026236781163341]]","[[0.0, 0.0], [0.34848371852225213, 0.103073499307283]]","[[0.0, 0.008699035973038456], [0.41669057561435957, 0.14372516029861707]]"
"[[[0.3832670174407851, 0.0], [0.0, 0.0]]]","[[0.10420320974865395, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.09574228193598655, 0.0], [0.0, 0.0]]","[[0.13697886293326061, 0.0033587506632642827], [0.017125270942040867, 0.016783902347690314]]","[[0.13500850426505734, 0.026264246761608136], [0.0, 0.020847442998125475]]"
"[[[0.8394963538471046, 0.0], [0.0, -0.7189679965571895]]]","[[0.5527602027940522, 0.0], [0.0, 0.36271753826610226]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.4842274748331894, 0.0], [0.0, 0.3083368697136526]]","[[0.5094286033822152, 0.0], [0.0, 0.3254213253803643]]","[[0.5289737827798431, 0.0], [0.0, 0.310697317681733]]"
"[[[0.0, 0.5428113816116473], [0.9613356053852963, 0.0]]]","[[0.0, 0.4606256874473116], [0.29978086068375565, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.3937110299500009], [0.2881485424787518, 0.0]]","[[0.0, 0.4243088825711438], [0.2969022963542175, 0.0]]","[[0.011363543450708525, 0.45782954328925896], [0.3181560808104421, 0.006547022909035118]]"
"[[[0.0, 0.0], [0.0, -0.14795374184459995]]]","[[0.0, 0.0], [0.0, 0.008502458404189145]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.00666045083412308], [0.031956870376391305, 0.05228777840336692]]","[[0.024693711839963137, 0.04969090077752111], [0.022698329507706654, 0.08609400811933948]]"
"[[[-0.7907606292826969, 0.0], [-1.2590284462121395, 0.0]]]","[[0.4894065469232619, 0.8009702707022779], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.2672248861172473, 0.4581190866116938], [0.0, 0.0]]","[[0.31612678019081236, 0.5219020509621284], [0.0, 0.0]]","[[0.3433557441031154, 0.5688860163182351], [0.012907911464081948, 0.0]]"
"[[[0.0, 0.0], [0.0, 0.3881055004665484]]]","[[0.0, 0.0], [0.0, 0.06840856661517715]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.022162349699639868], [0.0, 0.059089687192484815]]","[[0.01766182845385334, 0.042498786222175136], [0.0, 0.07989387214635019]]","[[0.0, 0.0], [0.0, 0.08098867613314348]]"
"[[[0.0, -0.9603785414273727], [0.0, -0.4030478914958954]]]","[[0.0, 0.0], [0.3586315225253298, 0.07603559909715008]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.30120671986693004, 0.03828478644349457]]","[[0.0, 0.0], [0.34720297127582683, 0.0745252217036278]]","[[0.011056225666556197, 0.002826867650794738], [0.36624298383792214, 0.10238022081289541]]"
"[[[0.0, 0.21075714040383914], [1.234463446134147, 0.0]]]","[[0.0, 0.5099452448151506], [0.055088439066978016, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.40864572728096155], [0.01506110732130963, 0.0]]","[[0.0, 0.45958094785202674], [0.028553229629361198, 0.0]]","[[0.02036084514468187, 0.4997835166791745], [0.06735822378851591, 0.014752309258008077]]"
"[[[-0.7897649086993035, 0.0], [-0.18173003282024858, 0.0]]]","[[0.5238342073395676, 0.049300003030768286], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.46863879149601695, 0.02078159252229142], [0.0, 0.0]]","[[0.4792387995172077, 0.042673983569691924], [0.018569871160988176, 0.03579482211022277]]","[[0.5434229823773897, 0.05053650612561235], [0.062134428525203914, 0.02635628658054246]]"
"[[[0.3699734229549375, 0.0], [0.0, 0.0]]]","[[0.058102402973195466, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.05348075161823617, 0.00045460862823432536], [0.0, 0.0037356752296474004]]","[[0.0654345602935296, 0.02547660293759989], [0.0, 0.009510759360562508]]","[[0.08825616034411542, 0.0], [0.007802784633241951, 0.012004159905150554]]"
"[[[0.0, 0.0], [0.0, 0.37810909562630346]]]","[[0.0, 0.0], [0.0, 0.0751437899993473]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.07741490763929221]]","[[0.01245242638215932, 0.002620506107167225], [0.03001905908696504, 0.10744249846351782]]","[[0.08558457941864424, 0.0647958544555282], [0.06287915344862786, 0.11749303697301695]]"
"[[[0.0, 0.0], [0.0, 0.7544690030893421]]]","[[0.0, 0.0], [0.0, 0.40738044196064355]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.01862650071797007, 0.0], [0.0, 0.36032604312485056]]","[[0.02367317091387416, 0.0], [0.0, 0.3835780700237549]]","[[0.0, 0.0], [0.0, 0.3614178536077799]]"
"[[[0.0, 0.79488963451711], [-0.40583233587226886, 0.0]]]","[[0.0, 0.14006880264913996], [0.273323783274847, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.1171836106850876], [0.23907591800498038, 0.0]]","[[0.0055917077200139595, 0.16193076229683437], [0.282790912789943, 0.03206071943842139]]","[[0.0, 0.1422016222171321], [0.2293089876431259, 0.0]]"
"[[[0.2463671255883724, 0.0], [0.0, -0.415299188194007]]]","[[0.04090697960939063, 0.0], [0.0, 0.07537001312119215]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.031463454095704904, 0.0], [0.0, 0.04967664077474316]]","[[0.0671491165579759, 0.017642386654855485], [0.0, 0.0664397948624029]]","[[0.0527143525295721, 0.0], [0.03198272407416426, 0.06800252061817641]]"
"[[[-0.6518620936442896, 0.0], [0.0, 0.0]]]","[[0.2813115600579027, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.2375574683990265, 0.0], [0.0, 0.0]]","[[0.26918216731395245, 0.0], [0.0, 0.0]]","[[0.310651943119374, 0.043813818160134174], [0.04389513387618014, 0.0708735331301945]]"
"[[[0.0, -0.25150560178184383], [-0.8708163028846614, 0.0]]]","[[0.0, 0.33503134232966786], [0.06547861454672578, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.31685302107155594], [0.03680268887163275, 0.0]]","[[0.0, 0.35175927870318274], [0.029701317749975937, 0.0]]","[[0.0, 0.34649882943590726], [0.08015128932392757, 0.01736129821006481]]"
"[[[0.0, -0.5112540204061088], [-1.2435044005392166, 0.0]]]","[[0.0, 0.7251799507240397], [0.35937909534911094, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.6040193466817312], [0.3217277150103033, 0.0]]","[[0.0, 0.6766330125760006], [0.3716911898484544, 0.0]]","[[0.0, 0.6806652233623942], [0.35409195624169776, 0.0]]"
"[[[0.0, 1.755464873394335], [0.0, -0.2875771801559859]]]","[[0.0, 0.0], [0.7301708043591852, 0.053912447423513456]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5358181627290046, 0.04130321578201448]]","[[0.0, 0.03744383259510069], [0.6147304751198688, 0.07352726594532412]]","[[0.00957927909405836, 0.040655706996329824], [0.6504951291767095, 0.04424868364128871]]"
"[[[0.790069076641189, 0.0], [0.0, 0.3817525378254257]]]","[[0.5499453684250126, 0.0], [0.0, 0.08139478865500956]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.5201454083968893, 0.0], [0.0, 0.063608493362319]]","[[0.5081692949554019, 0.0004024589622805249], [0.0, 0.08839251177972611]]","[[0.5707865164271578, 0.04452938252792389], [0.028531257972184032, 0.13460731716728377]]"
"[[[-0.37008564313553477, 0.0], [0.12378658690625914, 0.0]]]","[[0.0528085134744902, 0.008424014360971508], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.03642812148246328, 0.0031123836759600924], [0.0, 0.0]]","[[0.04483971714202224, 0.02465095350728341], [0.0, 0.0]]","[[0.06796029819236168, 0.07222767373978575], [0.0, 0.0]]"
"[[[-0.563217968898585, 0.0], [-0.5143495441084494, 0.0]]]","[[0.1670089245863282, 0.15852166756702818], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.12824674664244773, 0.10985662113653619], [0.0, 0.0]]","[[0.17110535349924202, 0.15075606795074312], [0.0, 0.0]]","[[0.16396229266217865, 0.14250534252332017], [0.0176459786870481, 0.028811032219795415]]"
"[[[0.0, 0.4213599722606833], [0.8533539723639738, 0.0]]]","[[0.0, 0.3402522786221294], [0.1451819004498032, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.2923976796095614], [0.11190612084025295, 0.0]]","[[0.011563755093470029, 0.34173464362312056], [0.17616296291673159, 0.012738997763087009]]","[[0.0463659799707052, 0.395036157784833], [0.22970278213375014, 0.06980652349547004]]"
"[[[-0.1148504679491097, 0.0], [0.0, 0.0]]]","[[0.0037371996512243354, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.015157388102301378]]","[[0.0, 0.0], [0.0, 0.025690945676395717]]"
"[[[0.0, 0.0], [0.0, 0.7670708963751494]]]","[[0.0, 0.0], [0.0, 0.4591813856946844]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.003959214503111103, 0.0], [0.0, 0.4105640288415387]]","[[0.007352498588241602, 0.0], [0.017017938895783635, 0.45169624197884267]]","[[0.05022878138835905, 0.03031995999752482], [0.030408198781879912, 0.4847128775836418]]"
"[[[0.0, 0.2733566731489952], [0.0, -0.40983020976080364]]]","[[0.0, 0.0], [0.032363126831997255, 0.06815198003161259]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.04718361721364101]]","[[0.0, 0.0], [0.02984491400549417, 0.051005124066580594]]","[[0.0370453866594844, 0.0], [0.07555955388312123, 0.07828226221002259]]"
"[[[0.7760637667730409, 0.0], [0.0, 0.0]]]","[[0.4761608376296307, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.41380444882223266, 0.0], [0.0, 0.0]]","[[0.4357959622950099, 0.0], [0.0, 0.0]]","[[0.5085301870523942, 0.0083153773117628], [0.005432442550664027, 0.01263707592475219]]"
"[[[0.32965030025368114, 0.0], [0.0, 0.0]]]","[[0.05298700326565662, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.03405953619140028, 0.0], [0.0, 0.0]]","[[0.05404836875169354, 0.019940777531409007], [0.010499423871863256, 0.004496791231947206]]","[[0.08305360257838534, 0.04628274076271849], [0.08062028228510554, 0.05831798451939275]]"
"[[[0.0, 0.0], [0.0, 0.7613463032672475]]]","[[0.0, 0.0], [0.0, 0.3244522845392312]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.29719698022891616]]","[[0.0, 0.0], [0.0002958914458047365, 0.29498730720783034]]","[[0.0, 0.0], [0.0, 0.30060633026798567]]"
"[[[0.829198330696178, 0.0], [0.0, 0.7088473877145933]]]","[[0.5899470046199436, 0.0], [0.0, 0.3657868472954661]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.5378881652633238, 0.0], [0.0, 0.32869055316390644]]","[[0.5633990281719824, 0.0], [0.0, 0.3358577507516918]]","[[0.6009968656789125, 0.0], [0.0, 0.3479221279957086]]"
"[[[-0.4253395949039612, 0.0], [0.0, 0.0]]]","[[0.0842092158205038, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.05604436049333466, 0.0], [0.0, 0.0]]","[[0.08530006963701872, 0.0], [0.015074533721916899, 0.0]]","[[0.07920584170702527, 0.00013520960545118952], [0.021370125920317087, 0.03560376011833259]]"
"[[[0.0, 1.1131299284743712], [0.0, 0.6861916505877071]]]","[[0.0, 0.0], [0.6412847492781882, 0.32422082176972156]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.39877859905411844, 0.1961321201829693]]","[[0.0, 0.0], [0.4250705114156764, 0.21532128567560008]]","[[0.002058371605993938, 0.0], [0.4769703414632796, 0.23114532150202796]]"
"[[[0.0, 0.0], [0.0, 0.24225435236366613]]]","[[0.0, 0.0], [0.0, 0.033415028468673835]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.02585048684787844]]","[[0.008922616441320003, 0.006718903300193946], [0.015286358075894095, 0.06012536044316681]]","[[0.007511781719901164, 0.01282401879408022], [0.03098814890190071, 0.07929846395341199]]"
"[[[0.18490601600248457, 0.0], [0.0, 0.0]]]","[[0.0005105436070927922, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.006288593953490542]]","[[0.0, 0.0], [0.0020327229836251833, 0.036743787586789756]]","[[0.013833032521578772, 0.02014386273027148], [0.07738582607399033, 0.07456846447533468]]"
"[[[0.0, 0.5489827458938754], [-0.9175702186766489, 0.0]]]","[[0.0, 0.4392730123903184], [0.27492722453425333, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.39816817905762925], [0.2629475246082462, 0.0]]","[[0.003493793806802337, 0.4177972814624146], [0.27719985308009076, 0.0]]","[[0.059657577454466745, 0.45826944552440396], [0.29040125667379263, 0.011942518907730489]]"
"[[[-0.2873054968649604, 0.0], [0.0, 0.0]]]","[[0.041442805994566845, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0133555933237722, 0.0], [0.0, 0.003380462823122906]]","[[0.03953988944550433, 0.0031813578309966015], [0.0, 0.01713637604085376]]","[[0.06726858915691587, 0.01638481162795853], [0.018293730163665214, 0.015718078644426915]]"
"[[[0.6751539761318628, 0.0], [0.0, 0.0]]]","[[0.2838603521238549, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.2744310181524603, 0.0], [0.0, 0.0]]","[[0.31031870491110913, 0.001927157567248461], [0.0, 0.0]]","[[0.33142984250745994, 0.018258678280142653], [0.00582422736675772, 0.0]]"
"[[[-0.4398416822411901, 0.0], [0.0, 0.0]]]","[[0.08676326715433515, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.058877465519860894, 0.0], [0.0, 0.0]]","[[0.08740246907458382, 0.016687458550290152], [0.0, 0.0]]","[[0.05425834220933487, 0.005401964592721423], [0.0, 0.0]]"
"[[[0.8181321313623595, 0.0], [0.0, 0.0]]]","[[0.5555625680448736, 0.0], [0.0, 0.0]]","[[0.004638474801173229, 0.0], [0.0, 0.0]]","[[0.5074789212435391, 0.0], [0.0, 0.0]]","[[0.5316172207008234, 0.014904196527602293], [0.0, 0.0]]","[[0.4907260607987934, 0.0], [0.0, 0.012436485797136852]]"
"[[[0.0, -0.4540408271899732], [-0.6485694134461888, 0.0]]]","[[0.0, 0.25103378444859725], [0.14995015602784686, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.21518472107058745], [0.12553576866706964, 0.0]]","[[0.0, 0.23507234119999793], [0.125347932689253, 0.0]]","[[0.016961483245299683, 0.24101603942461883], [0.1396458952476437, 0.0]]"
"[[[-0.5485739002950755, 0.0], [0.0, 0.1609617295430261]]]","[[0.19478506575470578, 0.0], [0.0, 0.02164041979469956]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.1958323897505254, 0.0], [0.0, 0.007094107758149682]]","[[0.23034021443196048, 0.0012761972651407795], [0.009459308009138202, 0.027683721767549206]]","[[0.1932236401317237, 0.0], [0.011958165653936552, 0.05208999013375744]]"
"[[[-0.10626756644264539, 0.0], [-0.6921455786969197, 0.0]]]","[[0.0041362175417803005, 0.19569397996912036], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.18824862346759022], [0.0, 0.0]]","[[0.0, 0.21202738018650194], [0.0, 0.0]]","[[0.0, 0.21641564671347205], [0.03201390683885294, 0.02912935804264324]]"
"[[[-0.22240666423431713, 0.0], [-0.43825310526032735, 0.0]]]","[[0.024353474263669402, 0.11351448962963749], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.08319091279007008], [0.0, 0.0]]","[[0.036091810849852704, 0.1416692957942299], [0.011660503160324572, 0.0]]","[[0.031406253819964154, 0.1364413428044741], [0.0, 0.0]]"
"[[[-0.25260877962977296, 0.0], [0.0, 0.0]]]","[[0.0385731869837215, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.02566524684673339, 0.0], [0.0, 0.0]]","[[0.049344314761668735, 0.017146902932749977], [0.003749865009342362, 0.0]]","[[0.059050806689528786, 0.04282142959933735], [0.0, 0.015718605285069076]]"
